,PM2.5,water_EQI_22July2013,land_EQI_22July2013,PCP Ratio,MHP Ratio,Dentist Ratio,FIPS,Latitude,Longitude,% Fair/Poor Health,Physically Unhealthy Days,Mentally Unhealthy Days,% No high school diploma,% Bachelors,Median household income,Healthcare Costs,Preventable Hosp. Rate,% Smokers,% Obese,Food Environment Index,% Physically Inactive,% Insufficient Sleep,% With Access to Exercise,% Excessive Drinking,% Alcohol-Impaired Driving,% Uninsured,% Diabetic,% Unemployed,Income Ratio,Violent Crime Rate,Injury Death Rate,% Severe Housing Problems,% Long Commute - Drives Alone,Years of Potential Life Lost Rate,Chlamydia Rate,perc_pop_fluo,PrescribingRate
0,11.7,-1.109728,-0.7065906,2409,6167,3084,1001,32.500389,-86.494165,18.41112436,4.200577983,4.306739284,10,5101.496972,58343,10674.34,6599,19.1246585,37.5,7.2,31.1,35.90540606,68.6775027,16.87801512,28.81355932,8.500966502,14.2,3.863522328,4.636663878,272.2822201,74.0318084,14.95464575,38.3,8824.057123,341.2,0.593730323,106.6
1,10.3,-0.5659107,-1.084299,1372,1096,2006,1003,30.548923,-87.762381,18.06045782,4.098747769,4.249648781,13.6384232,45674,56607,9537.12,3833,16.79548515,31,8,23.8,33.30586814,71.97103119,16.71496869,31.875,10.69928804,11.3,3.988336409,4.518559604,203.6603963,69.37428899,13.83172526,40.5,7224.63216,338.8,0.923156283,106.7
2,11.5,-0.9780902,-1.28147,2597,12635,2808,1005,31.844036,-85.310038,25.77341563,5.067438304,4.634994147,18.58974359,2722.722167,32490,9790.62,4736,21.54087757,44.3,5.6,28.2,38.56316713,53.62566923,12.69871542,29.62962963,12.51319664,18,5.900922778,5.755062606,414.2778607,72.90013441,15.45553145,33.8,9586.165037,557.9,0.493527908,90.7
3,11.2,-0.9681726,-0.8274103,1742,11334,3778,1007,33.030921,-87.127659,19.99691186,4.363377278,4.315710019,16.23616236,2612.424993,45795,10755.78,5998,19.91640424,37.8,7.6,34.9,38.1488654,16.25136374,15.92515079,27.27272727,9.680075276,14.9,4.385139901,4.254594439,89.34912598,100.0779368,10.96085409,48.6,11783.54368,302.1,0.270263672,80.6
4,11.7,-0.7186447,-0.6229339,4439,9669,4834,1009,33.955243,-86.591491,21.09532316,4.512752648,4.701599259,6.531204644,6066.721655,48253,10326.33,4162,19.65215818,34.4,8.5,28.5,35.94501042,22.94930393,15.37872189,21.875,12.11400416,14.3,4.021392994,4.126883464,482.6906109,105.1972275,10.40115302,59.7,10908.10182,114.3,0.18200946,48.9
5,11.2,-1.451335,-1.258014,3454,10309,5155,1011,32.116327,-85.701192,29.40771388,5.22661939,4.791918477,29.75206612,610.9200745,29113,10314.38,6767,23.47829118,39.4,4.2,29.2,45.02063587,26.69048928,12.89631731,60.71428571,13.20648344,20,4.925187032,6.599523479,311.0273327,109.9109342,20.75983718,47.3,12066.91026,733.9,0,19.9
6,10.6,-1.528175,-1.678537,3333,2832,3304,1013,31.773539,-86.65355,26.5026132,5.117432617,5.134573082,18.41004184,1763.912438,36842,10176.13,7962,22.19765552,40.2,6.5,34.7,41.9110839,48.57974889,13.04281127,31.25,10.66708425,17.9,5.488486474,5.122785583,581.5840052,95.48628379,13.78026071,31.8,14018.60626,827.7,0.466835054,118.6
7,11.8,-0.9281401,-0.0666635,1549,1015,1550,1015,33.72546,-85.819442,19.58470142,4.290448066,4.476572166,7.631954351,15499,45937,10901.19,6450,20.46223175,37.1,6.9,30.2,41.31434398,44.71376042,15.43167702,17.85714286,11.19820587,16.2,4.933965162,4.983813569,756.0665443,82.06214909,14.53881076,30.6,12217.75998,587.5,0.492888642,138.2
8,11.4,-1.004405,-0.2369899,1991,16857,4816,1017,32.860439,-85.266474,25.21983554,5.037044668,4.93264621,13.76146789,3751.090633,36883,9256.66,5511,22.04036962,40.3,6.3,32.4,37.26657479,61.86467923,13.52845089,34.21052632,10.65698299,17,4.078808645,4.739234303,528.9997362,81.21612317,16.06819006,30.9,11273.17098,792.3,1,127
9,11.4,-0.9704146,-0.1945019,2858,5171,6464,1019,34.179333,-85.629194,19.29159345,4.277917079,4.681252945,5.095541401,3387.222747,44842,11470.43,6577,19.14485261,36.3,8.5,31.8,35.35507081,33.42952788,15.23273067,17.85714286,11.89542484,13.5,4.054054054,4.786069357,330.438792,105.6438491,15.46985816,43.4,11294.41054,169,0.310471352,128.3
10,11.2,-1.059535,-0.6654943,5493,2448,3672,1021,32.877547,-86.687406,21.46530717,4.736277114,4.625572407,11.79401993,4557.842507,46405,10515.38,3791,19.67327502,35.3,8.1,31.2,35.17456926,47.24239855,15.06431265,18.75,14.21126258,14.7,4.048540642,4.969531974,507.810721,90.06837008,13.05820758,49.2,10831.91736,307.3,0.006325511,107
11,10.1,-1.24212,-1.716982,2599,5276,2158,1023,32.016562,-88.264164,24.11128491,4.738148772,4.756276958,21.36752137,1312.603958,36711,11241.35,4778,19.06205957,41.3,6.4,32.6,38.29117428,27.56331626,13.02524036,58.33333333,11.28327374,16.2,6.388376384,5.771077784,128.4146626,103.2540201,13.3632287,45.9,12047.18708,375.3,0,92.2
12,10.4,-1.122216,-1.877054,1742,1505,3440,1025,31.685685,-87.815673,27.70052858,5.034122472,4.803871485,9.090909091,1698.343231,36719,9935.26,5857,20.93332271,39.6,5.4,32.3,40.84477971,23.86482406,13.35369528,31.25,11.38065443,18.5,8.484455959,8.165117393,475.312436,79.47965159,12.68191268,34.3,9688.373844,633.4,0.642154882,154.5
13,10.6,-0.9876922,-0.189493,2698,6684,6684,1027,33.272412,-85.820227,20.58763477,4.472032396,4.586048237,10.1910828,1330.175456,39642,9781.85,5644,19.13940444,37.7,7.9,30.6,38.54052487,63.97502153,14.81913369,30,13.4434634,14.7,4.369865408,4.905323194,309.0672128,80.05692937,14.29889299,39.4,9666.041236,287.8,0.127609527,112.2
